movie_id	imdb_id	movie_name	imdb_date	production_companies	franchise
aladdin_tt0103639	tt0103639	Aladdin	1992	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation	Aladdin
nightmare.befor_tt0107688	tt0107688	The Nightmare Before Christmas	1993	Walt Disney Pictures; Touchstone Pictures; Tim Burton Productions	Nightmare Before Christmas
lion.king_tt0110357	tt0110357	The Lion King	1994	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation	Lion King
a.goofy.movie_tt0113198	tt0113198	A Goofy Movie	1995	Walt Disney Pictures; Disney Television Animation; Disneytoon Studios	Disney
pocahontas_tt0114148	tt0114148	Pocahontas	1995	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation	Pocahontas
toy.story_tt0114709	tt0114709	Toy Story	1995	Walt Disney Pictures; Pixar Animation Studios	Toy Story
beavis.and.butt_tt0115641	tt0115641	Beavis and Butt-Head Do America	1996	Paramount Pictures; MTV Films; MTV Productions	Beavis and Butt-Head
hunchback.of.no_tt0116583	tt0116583	The Hunchback of Notre Dame	1996	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation	Hunchback of Notre Dame
space.jam_tt0117705	tt0117705	Space Jam	1996	Warner Bros.; Courtside Seats Productions; Northern Lights Entertainment	Looney Tunes
anastasia_tt0118617	tt0118617	Anastasia	1997	Fox Family Films; Fox Animation Studios; The Big Gun Project	Anastasia
a.bugs.life_tt0120623	tt0120623	A Bug's Life	1998	Walt Disney Pictures; Pixar Animation Studios	Bug's Life
antz_tt0120587	tt0120587	Antz	1998	DreamWorks Animation; DreamWorks Pictures; PDI DreamWorks	
mulan_tt0120762	tt0120762	Mulan	1998	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation Florida	Mulan
pokmon.the.firs_tt0190641	tt0190641	Pokémon: The First Movie - Mewtwo Strikes Back	1998	Oriental Light and Magic (OLM); Shogakukan Production; Tomy	Pokémon
prince.of.egypt_tt0120794	tt0120794	The Prince of Egypt	1998	DreamWorks Pictures; DreamWorks Feature Animation; DreamWorks Animation	
rugrats.movie_tt0134067	tt0134067	The Rugrats Movie	1998	Paramount Pictures; Nickelodeon Movies; Klasky-Csupo	Rugrats
fantasia.2000_tt0120910	tt0120910	Fantasia 2000	1999	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation	Disney
south.park.bigg_tt0158983	tt0158983	South Park: Bigger, Longer & Uncut	1999	Paramount Pictures; Warner Bros.; Comedy Central	South Park
tarzan_tt0120855	tt0120855	Tarzan	1999	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation	Tarzan
toy.story.2_tt0120363	tt0120363	Toy Story 2	1999	Walt Disney Pictures; Pixar Animation Studios	Toy Story
chicken.run_tt0120630	tt0120630	Chicken Run	2000	Aardman Animations; DreamWorks Pictures; Pathé	Chicken Run
dinosaur_tt0130623	tt0130623	Dinosaur	2000	Walt Disney Pictures; The Secret Lab (TSL); Walt Disney Animation Studios	Dinosaur
road.to.el.dora_tt0138749	tt0138749	The Road to El Dorado	2000	DreamWorks Pictures; DreamWorks Feature Animation; DreamWorks Animation	Road to El Dorado
atlantis.the.lo_tt0230011	tt0230011	Atlantis: The Lost Empire	2001	Walt Disney Pictures; Eastman Film; Walt Disney Animation Studios	Atlantis: The Lost Empire
monsters.inc._tt0198781	tt0198781	Monsters, Inc.	2001	Walt Disney Pictures; Pixar Animation Studios	Monsters, Inc.
shrek_tt0126029	tt0126029	Shrek	2001	DreamWorks Animation; DreamWorks Pictures; PDI DreamWorks	Shrek
ice.age_tt0268380	tt0268380	Ice Age	2002	20th Century Fox; Blue Sky Studios; 20th Century Fox Animation	Ice Age
lilo..stitch_tt0275847	tt0275847	Lilo & Stitch	2002	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation Florida	Lilo & Stitch
spirit.stallion_tt0166813	tt0166813	Spirit: Stallion of the Cimarron	2002	DreamWorks Pictures; DreamWorks Animation; DreamWorks Feature Animation	Spirit: Stallion of the Cimarron
brother.bear_tt0328880	tt0328880	Brother Bear	2003	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation Florida	Brother Bear
finding.nemo_tt0266543	tt0266543	Finding Nemo	2003	Walt Disney Pictures; Pixar Animation Studios	Finding Nemo
incredibles_tt0317705	tt0317705	The Incredibles	2004	Walt Disney Pictures; Pixar Animation Studios	Incredibles
polar.express_tt0338348	tt0338348	The Polar Express	2004	Castle Rock Entertainment; Shangri-La Entertainment; Playtone	Polar Express
shark.tale_tt0307453	tt0307453	Shark Tale	2004	DreamWorks Animation	Shark Tale
shrek.2_tt0298148	tt0298148	Shrek 2	2004	DreamWorks Pictures; DreamWorks Animation; PDI DreamWorks	Shrek
spongebob.squar_tt0345950	tt0345950	The SpongeBob SquarePants Movie	2004	Paramount Pictures; Nickelodeon Movies; United Plankton Pictures	SpongeBob SquarePants
chicken.little_tt0371606	tt0371606	Chicken Little	2005	Walt Disney Pictures; Walt Disney Animation Studios; Walt Disney Feature Animation	Chicken Little
corpse.bride_tt0121164	tt0121164	Corpse Bride	2005	Warner Bros.; Tim Burton Productions; Laika Entertainment	
madagascar_tt0351283	tt0351283	Madagascar	2005	DreamWorks Animation; PDI DreamWorks	Madagascar
robots_tt0358082	tt0358082	Robots	2005	20th Century Fox Animation; Blue Sky Studios	Robots
wallace..gromit_tt0312004	tt0312004	Wallace & Gromit: The Curse of the Were-Rabbit	2005	DreamWorks Animation; Aardman Animations	Wallace and Gromit
